#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_348112_cov_35.232497	1	348112	189358	348112	100	78.0264	34.5	58.8
NODE_2_length_264254_cov_40.359933	1	264254	142422	264254	100	77.1965	34.6	58.1
NODE_3_length_243412_cov_34.638729	1	243412	130312	243412	100	76.8078	34.4	58.8
NODE_4_length_240438_cov_36.400481	1	240438	134651	240438	100	80.3969	34.6	58.8
NODE_5_length_211199_cov_40.504950	1	211199	121145	211199	100	82.3732	34.4	58.5
NODE_6_length_199003_cov_41.152464	1	199003	104289	199003	100	75.1148	34.4	58.1
NODE_7_length_193337_cov_39.506090	1	193337	106852	193337	100	79.2458	34.4	58.4
NODE_8_length_172036_cov_41.486660	1	172036	97919	172036	100	81.7268	34.6	58.2
NODE_9_length_161356_cov_43.118435	1	161356	97474	161356	100	86.6116	34.3	58.3
NODE_10_length_157520_cov_38.776491	1	157520	83958	157520	100	76.4581	34.5	58.3
NODE_11_length_151564_cov_35.006383	1	151564	81825	151564	100	77.4677	34.5	58.8
NODE_12_length_132943_cov_36.881572	1	132943	75340	132943	100	81.3822	34.4	58.7
NODE_13_length_131960_cov_35.946665	1	131960	73171	131960	100	79.5506	34.4	58.8
NODE_14_length_116735_cov_47.741381	1	116735	63957	116735	100	78.4716	34.4	57.7
NODE_15_length_111655_cov_35.498252	1	111655	61446	111655	100	78.9765	34.3	58.8
NODE_16_length_110847_cov_34.679868	1	110847	59545	110847	100	77.0592	34.3	58.8
NODE_17_length_98594_cov_42.750287	1	98594	63839	98594	100	92.9763	34.7	58.3
NODE_18_length_97805_cov_37.474705	1	97805	56612	97805	100	83.0611	34.4	58.8
NODE_19_length_91281_cov_36.037126	1	91281	50611	91281	100	79.6299	34.5	58.8
NODE_20_length_83160_cov_36.294079	1	83160	46558	83160	100	80.3427	34.5	58.8
NODE_21_length_80629_cov_49.825243	1	80629	40905	80629	100	72.4848	34.6	56.5
NODE_22_length_76289_cov_35.674828	1	76289	41010	76289	100	77.0313	34.6	58
NODE_23_length_73125_cov_46.110256	1	73125	41580	73125	100	81.6814	34.5	57.8
NODE_24_length_72781_cov_55.549433	1	72781	40059	72781	100	78.8469	34.4	57.2
NODE_25_length_65616_cov_35.787516	1	65616	36030	65616	100	78.8211	34.6	58.8
NODE_26_length_64638_cov_34.965831	1	64638	34909	64638	100	77.5887	34.3	58.9
NODE_27_length_60085_cov_46.869901	1	60085	32555	60085	100	77.7241	34.6	57.6
NODE_28_length_59733_cov_35.493027	1	59733	32919	59733	100	79.0395	34.2	58.8
NODE_29_length_48592_cov_38.761373	1	48592	27933	48592	100	82.2632	34.5	58.1
NODE_30_length_47151_cov_33.636870	1	47151	24397	47151	100	74.2227	34.6	58.8
NODE_31_length_46460_cov_36.774529	1	46460	26196	46460	100	81.0557	34.5	58.9
NODE_32_length_44698_cov_34.055983	1	44698	23619	44698	100	75.6215	34.4	58.7
NODE_33_length_40795_cov_36.416302	1	40795	22813	40795	100	80.0022	34.7	58.6
NODE_34_length_40557_cov_36.664723	1	40557	22854	40557	100	80.9017	34.5	58.8
NODE_35_length_38091_cov_43.773399	1	38091	25349	38091	100	95.4012	34.5	58
NODE_36_length_36199_cov_36.581502	1	36199	20621	36199	100	81.6289	34.2	58.7
NODE_37_length_36005_cov_37.238700	1	36005	20266	36005	100	80.9381	34.4	58.2
NODE_38_length_34780_cov_35.028326	1	34780	18810	34780	100	77.6374	34.3	58.8
NODE_39_length_32687_cov_35.692916	1	32687	18012	32687	100	79.0412	34.4	58.8
NODE_40_length_32685_cov_36.169928	1	32685	17360	32685	100	76.1535	34.7	57.5
NODE_41_length_32331_cov_37.436969	1	32331	18736	32331	100	83.0482	34.3	58.8
NODE_42_length_20545_cov_37.887532	1	20545	11913	20545	100	83.2924	34.5	58.7
NODE_43_length_19201_cov_35.285662	1	19201	10344	19201	100	77.5388	34.5	58.9
NODE_44_length_17536_cov_34.781374	1	17536	9438	17536	100	77.2002	34.2	58.7
NODE_45_length_16417_cov_44.529621	1	16417	11187	16417	100	97.8327	34.6	58.8
NODE_46_length_15612_cov_37.092050	1	15612	8842	15612	100	81.1398	34.9	58.7
NODE_47_length_13692_cov_36.694168	1	13692	7719	13692	100	80.6459	34.5	58.7
NODE_48_length_12667_cov_36.094599	1	12667	7055	12667	100	79.7598	34.4	58.8
NODE_49_length_8325_cov_22.840931	1	8325	2900	8325	100	49.7229	35.1	58.3
NODE_50_length_7418_cov_34.386187	1	7418	3919	7418	100	75.8676	34	58.9
NODE_51_length_6448_cov_37.493957	1	6448	3701	6448	100	81.4921	35.5	58.5
NODE_52_length_6324_cov_31.129822	1	6324	3018	6324	100	68.2821	34.6	58.4
NODE_53_length_5807_cov_34.876265	1	5807	3044	5807	100	74.8958	34.7	58.5
NODE_54_length_3460_cov_56.343187	1	3460	3277	3460	100	132.302	32.9	58.1
NODE_55_length_2651_cov_44.611500	1	2651	1796	2651	100	95.8823	35.3	58
NODE_56_length_1992_cov_35.551958	1	1992	1051	1992	100	75.0256	34.9	58.1
NODE_57_length_1546_cov_39.413887	1	1546	886	1546	100	81.8881	34.8	58.7
NODE_58_length_1343_cov_230.773302	1	1343	4605	1343	100	484.284	34.7	58.3
NODE_59_length_1317_cov_79.470161	1	1317	1527	1317	100	167.115	34.2	59.1
NODE_60_length_1288_cov_52.739884	1	1288	1024	1288	100	110.36	35.9	57.2
NODE_61_length_1211_cov_40.345679	1	1211	812	1211	100	91.3204	32.9	56.2
NODE_62_length_1061_cov_685.424797	1	1061	10261	1061	100	1378.68	35.3	58.4
NODE_63_length_1013_cov_173.820513	1	1013	2606	1013	100	363.35	34.2	58.6
NODE_64_length_891_cov_48.691646	1	891	594	891	100	95.5107	35.3	58.1
NODE_65_length_869_cov_80.722222	1	869	1052	869	100	170.229	33.6	58.2
NODE_66_length_869_cov_38.835859	1	869	491	869	100	80.1185	34.2	57.4
NODE_67_length_551_cov_29.628692	1	551	227	551	100	56.3067	34.6	53.6
NODE_68_length_533_cov_15.524123	1	533	108	533	100	28.8199	33	54.9
NODE_69_length_521_cov_27.391892	1	521	176	521	100	46.8349	34.6	53
NODE_70_length_415_cov_42.893491	1	415	268	415	100	85.9759	34.1	56.2
NODE_71_length_394_cov_50.823344	1	394	258	394	100	90.3096	34.9	57.7
NODE_72_length_390_cov_63.958466	1	390	313	390	100	111.823	35.2	56.8
